database_id,sku,name,description,parent_id,colour_value,size_value,price,stock_status,stock_quantity,image_url,slug,product_type,weight,length,width,height,customiser_template,background_color,personalisation_options,material,product_style,corporate_category,sports_category,quality
20235,MH00006S,"Hex 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20233,Silver,,10.02,instock,257,https://trophymade.com/app/uploads/2023/04/MH00006S-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,hex-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20236,MH00006AZ,"Hex 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20233,Bronze,,10.02,instock,493,https://trophymade.com/app/uploads/2023/04/MH00006AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,hex-1-club-logo-medal,variable,,,,1.75,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20237,MH00007,"Sunburst 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00007-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,sunburst-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20238,MH00007AG,"Sunburst 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20237,Gold,,9.82,instock,1165,https://trophymade.com/app/uploads/2023/04/MH00007AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,sunburst-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20239,MH00007AS,"Sunburst 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20237,Silver,,9.82,instock,1369,https://trophymade.com/app/uploads/2023/04/MH00007AS.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,sunburst-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20240,MH00007AZ,"Sunburst 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20237,Bronze,,9.82,instock,1359,https://trophymade.com/app/uploads/2023/04/MH00007AZ-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,sunburst-1-club-logo-medal,variable,,,,1.875,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20241,MH00008,"Twister 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,0,Bronze|Gold|Silver,,,instock,,https://trophymade.com/app/uploads/2023/04/MH00008-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,twister-1-club-logo-medal,variable,,,,,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20242,MH00008AG,"Twister 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20241,Gold,,9.58,instock,3515,https://trophymade.com/app/uploads/2023/04/MH00008AG-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,twister-1-club-logo-medal,variable,,,,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20243,MH00008AS,"Twister 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20241,Silver,,9.58,instock,2505,https://trophymade.com/app/uploads/2023/04/MH00008AS-1.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,twister-1-club-logo-medal,variable,,,,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
20244,MH00008AZ,"Twister 1"" Club Logo Medal",Celebrate and acknowledge great performance throughout the season with this award.<br><br>**Decorating on the award is for illustration purposes only**,20241,Bronze,,9.58,instock,137,https://trophymade.com/app/uploads/2023/04/MH00008AZ.webp|https://trophymade.com/app/uploads/2023/03/neck_ribbons_options.webp,twister-1-club-logo-medal,variable,,,,2,https://trophymade.com/app/uploads/2022/08/Circle_v3.png,,Award Details and Club Logo|Club Logo,Metal,Medals,Your Club Logo,Your Club Logo,
